event_id,start_time,end_time,duration_min,area,equipment,category,cause,shift,notes
EVT-0001,2026-01-13T07:35:00,2026-01-13T07:41:00,6,Utilities,Wrapper-01,Electrical,Startup check,Shift-Beta,Temporary workaround applied.
EVT-0002,2025-12-05T20:35:00,2025-12-05T21:24:00,49,Finishing,Station-09,Changeover,Material shortage,Shift-Alpha,Cleared and resumed.
EVT-0003,2025-12-20T15:05:00,2025-12-20T15:16:00,11,Packaging,Wrapper-01,Material,Packaging film change,Shift-Delta,Reset and verified.
EVT-0004,2026-01-12T23:55:00,2026-01-13T00:34:00,39,Warehouse,Sorter-03,Logistics,Material shortage,Shift-Delta,Temporary workaround applied.
EVT-0005,2025-12-07T15:45:00,2025-12-07T16:16:00,31,Finishing,Line-01,Logistics,Inspection hold,Shift-Beta,Running stable after adjustment.
EVT-0006,2025-12-29T07:25:00,2025-12-29T07:36:00,11,Quality,Station-05,Quality,Inspection hold,Shift-Alpha,Running stable after adjustment.
EVT-0007,2025-12-18T06:05:00,2025-12-18T07:04:00,59,Warehouse,Line-02,Logistics,Jam clear,Shift-Zeta,Cleared and resumed.
EVT-0008,2025-12-04T10:15:00,2025-12-04T10:28:00,13,Utilities,Cell-Alpha,Changeover,Nozzle cleanout,Shift-Beta,Paused to align with upstream.
EVT-0009,2025-12-14T07:25:00,2025-12-14T08:19:00,54,Packaging,Sorter-03,Changeover,Guard reset,Shift-Beta,Operator notified maintenance.
EVT-0010,2026-01-04T08:10:00,2026-01-04T08:22:00,12,Quality,Line-01,Material,Format swap,Shift-Gamma,Operator notified maintenance.
EVT-0011,2026-01-07T10:00:00,2026-01-07T10:16:00,16,Finishing,Line-01,Material,Packaging film change,Shift-Zeta,Cleared and resumed.
EVT-0012,2026-01-17T02:35:00,2026-01-17T03:08:00,33,Finishing,Wrapper-01,Quality,Sensor recalibration,Shift-Delta,Paused to align with upstream.
EVT-0013,2025-12-15T19:00:00,2025-12-15T19:51:00,51,Quality,Wrapper-01,Electrical,Temperature recovery,Shift-Alpha,Cleared and resumed.
EVT-0014,2025-12-31T12:30:00,2025-12-31T13:18:00,48,Assembly,Filler-02,Logistics,Temperature recovery,Shift-Alpha,Cleared and resumed.
EVT-0015,2025-12-21T19:10:00,2025-12-21T19:19:00,9,Packaging,Cell-Beta,Quality,Startup check,Shift-Zeta,Temporary workaround applied.
EVT-0016,2025-12-21T12:45:00,2025-12-21T13:23:00,38,Finishing,Filler-02,Quality,Startup check,Shift-Delta,Cleared and resumed.
EVT-0017,2026-01-20T22:05:00,2026-01-20T23:04:00,59,Quality,Wrapper-01,Logistics,Jam clear,Shift-Delta,Running stable after adjustment.
EVT-0018,2026-01-26T07:30:00,2026-01-26T07:56:00,26,Warehouse,Station-09,Mechanical,Sensor recalibration,Shift-Gamma,Running stable after adjustment.
EVT-0019,2025-12-21T21:20:00,2025-12-21T21:48:00,28,Packaging,Filler-02,Changeover,Sensor recalibration,Shift-Alpha,Cleared and resumed.
EVT-0020,2025-12-28T03:55:00,2025-12-28T04:47:00,52,Finishing,Line-03,Quality,Format swap,Shift-Zeta,Paused to align with upstream.
EVT-0021,2026-01-05T10:50:00,2026-01-05T11:02:00,12,Warehouse,Station-05,Logistics,Packaging film change,Shift-Alpha,Reset and verified.
EVT-0022,2026-01-08T09:25:00,2026-01-08T09:36:00,11,Utilities,Wrapper-01,Material,Material shortage,Shift-Delta,Operator notified maintenance.
EVT-0023,2026-01-24T03:25:00,2026-01-24T04:24:00,59,Utilities,Station-05,Changeover,Guard reset,Shift-Zeta,Operator notified maintenance.
EVT-0024,2026-01-21T13:40:00,2026-01-21T14:34:00,54,Utilities,Sorter-03,Logistics,Nozzle cleanout,Shift-Alpha,Paused to align with upstream.
EVT-0025,2026-01-29T21:55:00,2026-01-29T22:17:00,22,Assembly,Line-03,Electrical,Guard reset,Shift-Gamma,Reset and verified.
EVT-0026,2025-12-01T05:10:00,2025-12-01T05:51:00,41,Quality,Station-09,Changeover,Material shortage,Shift-Alpha,Cleared and resumed.
EVT-0027,2026-01-17T16:15:00,2026-01-17T16:44:00,29,Warehouse,Filler-02,Electrical,Material shortage,Shift-Gamma,Reset and verified.
