obs_id,date,area,category,severity,near_miss,corrective_action,closed_date,notes
OBS-0001,2026-02-14,Packaging,Housekeeping,MED,FALSE,Updated visual cue at station,2026-02-23,Observed during routine walk.
OBS-0002,2026-02-11,Maintenance,Housekeeping,LOW,FALSE,Adjusted material staging,2026-02-20,Reported by line lead.
OBS-0003,2026-02-19,QA,PPE,LOW,FALSE,Coached operator on standard work,,Reported by line lead.
OBS-0004,2026-02-18,Maintenance,Ergonomics,LOW,FALSE,Scheduled maintenance follow-up,2026-02-25,Observed during routine walk.
OBS-0005,2026-01-27,Warehouse,Chemical Handling,LOW,TRUE,Reinforced PPE requirements,2026-02-03,Observed during routine walk.
OBS-0006,2026-02-09,Warehouse,Forklift,MED,FALSE,Adjusted material staging,2026-02-11,Observed during routine walk.
OBS-0007,2026-02-16,Assembly,Ergonomics,HIGH,FALSE,Coached operator on standard work,2026-02-24,Follow-up needed after shift.
OBS-0008,2026-01-15,Warehouse,Ergonomics,LOW,FALSE,Logged for safety committee review,2026-01-25,Reported by line lead.
OBS-0009,2026-02-08,Assembly,Guarding,LOW,FALSE,Logged for safety committee review,2026-02-12,Follow-up needed after shift.
OBS-0010,2026-02-27,Packaging,Guarding,MED,FALSE,Reinforced PPE requirements,2026-03-03,Flagged for next Gemba walk.
OBS-0011,2026-02-19,Warehouse,Guarding,MED,FALSE,Logged for safety committee review,2026-02-24,Reported by line lead.
OBS-0012,2026-01-20,QA,Chemical Handling,LOW,FALSE,Adjusted material staging,2026-01-24,Reported by line lead.
OBS-0013,2026-02-06,Maintenance,Housekeeping,MED,FALSE,Updated visual cue at station,2026-02-13,Flagged for next Gemba walk.
OBS-0014,2026-01-09,Maintenance,PPE,LOW,FALSE,Scheduled maintenance follow-up,,Observed during routine walk.
OBS-0015,2026-02-17,Packaging,Forklift,MED,FALSE,Logged for safety committee review,2026-02-22,Area cleared and reset.
OBS-0016,2026-01-15,Maintenance,Housekeeping,HIGH,FALSE,Scheduled maintenance follow-up,,Reported by line lead.
OBS-0017,2026-02-06,Packaging,Forklift,LOW,FALSE,Adjusted material staging,2026-02-12,Reported by line lead.
OBS-0018,2026-02-08,QA,Housekeeping,LOW,FALSE,Coached operator on standard work,,Follow-up needed after shift.
OBS-0019,2026-01-20,Packaging,Guarding,MED,FALSE,Coached operator on standard work,2026-01-22,Flagged for next Gemba walk.
OBS-0020,2026-02-23,Assembly,Guarding,MED,FALSE,Updated visual cue at station,2026-03-05,Area cleared and reset.
OBS-0021,2026-01-18,QA,Forklift,MED,FALSE,Reinforced PPE requirements,,Follow-up needed after shift.
OBS-0022,2026-02-02,QA,PPE,LOW,FALSE,Scheduled maintenance follow-up,2026-02-11,Reported by line lead.
