event_id,start_time,end_time,duration_min,area,equipment,category,cause,shift,notes
EVT-0001,2026-01-05T12:31:00,2026-01-05T12:41:00,10,Packaging,Mixer-02,Material,Container swap,A,Cleared and resumed.
EVT-0002,2026-01-05T14:40:00,2026-01-05T15:10:00,30,Packaging,Mixer-02,Electrical,Control reset,B,Reset and verified.
EVT-0003,2026-01-05T20:16:00,2026-01-05T20:24:00,8,Finishing,Conveyor-01,Changeover,Clean-in-place,A,Operator notified maintenance.
EVT-0004,2026-01-05T22:27:00,2026-01-05T23:02:00,35,Finishing,Conveyor-01,Changeover,Format change,A,Adjusted alignment.
EVT-0005,2026-01-06T02:18:00,2026-01-06T02:33:00,15,Assembly,Oven-02,Material,Material shortage,C,Cleared and resumed.
EVT-0006,2026-01-06T06:38:00,2026-01-06T06:46:00,8,Warehouse,Robot-04,Changeover,Tooling setup,A,Adjusted alignment.
EVT-0007,2026-01-06T08:50:00,2026-01-06T09:25:00,35,Warehouse,Robot-04,Mechanical,Belt misalignment,C,Adjusted alignment.
EVT-0008,2026-01-06T17:42:00,2026-01-06T18:32:00,50,Finishing,Palletizer-01,Quality,Rework hold,B,Cleared and resumed.
EVT-0009,2026-01-06T23:46:00,2026-01-07T00:36:00,50,Assembly,Mixer-02,Electrical,Motor overload,B,Adjusted alignment.
EVT-0010,2026-01-07T10:02:00,2026-01-07T10:20:00,18,Finishing,Chiller-01,Safety,Spill cleanup,A,Reset and verified.
EVT-0011,2026-01-07T20:04:00,2026-01-07T20:24:00,20,Utilities,Press-03,Electrical,Control reset,B,Reset and verified.
EVT-0012,2026-01-07T22:43:00,2026-01-07T23:33:00,50,Warehouse,Wrapper-02,Changeover,Tooling setup,C,Cleared and resumed.
EVT-0013,2026-01-08T09:01:00,2026-01-08T09:36:00,35,Finishing,Mixer-02,Utility,Air pressure dip,B,Short verification run.
EVT-0014,2026-01-08T11:42:00,2026-01-08T11:47:00,5,Utilities,Palletizer-01,Safety,Spill cleanup,B,Cleared and resumed.
EVT-0015,2026-01-08T19:22:00,2026-01-08T20:02:00,40,Packaging,Pump-05,Quality,Rework hold,A,Adjusted alignment.
EVT-0016,2026-01-08T23:01:00,2026-01-08T23:26:00,25,Assembly,Chiller-01,Mechanical,Bearing wear,C,Operator notified maintenance.
EVT-0017,2026-01-09T07:13:00,2026-01-09T07:33:00,20,Finishing,Mixer-02,Utility,Air pressure dip,B,Short verification run.
EVT-0018,2026-01-09T13:17:00,2026-01-09T13:27:00,10,Finishing,Oven-02,Utility,Chilled water wait,C,Short verification run.
EVT-0019,2026-01-09T20:34:00,2026-01-09T21:14:00,40,Assembly,Press-03,Material,Material shortage,A,Operator notified maintenance.
EVT-0020,2026-01-10T02:11:00,2026-01-10T02:51:00,40,Packaging,Pump-05,Electrical,Motor overload,A,Cleared and resumed.
EVT-0021,2026-01-10T08:39:00,2026-01-10T08:44:00,5,Finishing,Oven-02,Electrical,Control reset,C,Adjusted alignment.
EVT-0022,2026-01-10T15:10:00,2026-01-10T15:20:00,10,Warehouse,Palletizer-01,Safety,Spill cleanup,C,Material staged after delay.
EVT-0023,2026-01-10T17:15:00,2026-01-10T17:40:00,25,Warehouse,Sorter-01,Utility,Chilled water wait,B,Short verification run.
